"Reference","Value","Footprint","Description","Q_SUPPLIER","Q_SUPPLIER_PN","MF","MP","LCSC"
"C1","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C2","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C3","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C4","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C5","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C6","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C7","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C8","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C9","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C10","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C11","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C12","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C13","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C14","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C15","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C16","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C17","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C18","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C19","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C20","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C21","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C22","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C23","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C24","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C25","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C26","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C27","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C28","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C29","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C30","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C31","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C32","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C33","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C34","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C35","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C36","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C37","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C38","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C39","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C40","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C41","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C42","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C43","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C44","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C45","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C46","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C47","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C48","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C49","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C50","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C51","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C52","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C53","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C54","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"D1","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D2","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D3","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D4","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D5","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D8","Blue","PCM_SparkFun-LED:LED_0603_1608Metric_Blue","0603 blue LED","QUICK-TECK","QCD-00046","YONGYUTAI","YLED0603B","C19171394"
"D9","Red","PCM_SparkFun-LED:LED_0603_1608Metric_Red","0603 red LED","QUICK-TECK","QCD-00045","YONGYUTAI","YLED0603R","C19171390"
"D10","Green","PCM_SparkFun-LED:LED_0603_1608Metric_Green","0603 green LED","QUICK-TECK","QCD-00048","YONGYUTAI","YLED0603G","C19273151"
"D11","Red","PCM_SparkFun-LED:LED_0603_1608Metric_Red","0603 red LED","QUICK-TECK","QCD-00045","YONGYUTAI","YLED0603R","C19171390"
"D12","Green","PCM_SparkFun-LED:LED_0603_1608Metric_Green","0603 green LED","QUICK-TECK","QCD-00048","YONGYUTAI","YLED0603G","C19273151"
"J1","3.5mm","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","Screw terminal PCB mount 3.5mm pitch 2 terminals","LCSC","C695629","DORABO","DB301V-3.5-2P-GN-S","C695629"
"J2","3.5mm","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","Screw terminal PCB mount 3.5mm pitch 2 terminals","LCSC","C695629","DORABO","DB301V-3.5-2P-GN-S","C695629"
"J3","USB_C_Receptacle","PCM_SparkFun-Connector:USB-C_16","USB 2.0-only Type-C Receptacle connector","LCSC","C2988369","G-Switch","GT-USB-7010ASV","C2988369"
"J4","B2B-PH-SM4-TB","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB","JST 2 pin terminal 2mm pitch vertical entry SMD","LCSC","C160352","JST","B2B-PH-SM4-TB","C160352"
"J5","microSD","PCM_SparkFun-Connector:microSD_External_Pin","Micro SD socket External Pin","LCSC","C20619272","CUI","MSD-1-A","C20619272"
"J6","Conn_01x08","PCM_SparkFun-Connector:1x08_P2.54mm_Socket_Vertical_SMD_Pin1RightDown","8 pin SMD female header","MOUSER","640-BG125-8A1144ND","Global Connector Technology"," BG125-08-A-1-1-0440-N-D","C6131506"
"J7","Qwiic_RA","PCM_SparkFun-Connector:JST_1x04_P1.0mm_Horizontal_SMD","4 pin JST 1mm polarized connector for I2C","LCSC","C160404","JST","SM04B-SRSS-TB","C160404"
"J8","Qwiic_RA","PCM_SparkFun-Connector:JST_1x04_P1.0mm_Horizontal_SMD","4 pin JST 1mm polarized connector for I2C","LCSC","C160404","JST","SM04B-SRSS-TB","C160404"
"J9","89898-308ALF","89898-308ALF:AMPHENOL_89898-308ALF","AMPHENOL ICC 89898-308ALF Socket strip 2x8p","LCSC","C5417482","FCI","89898-308ALF","C5417482"
"J10","Conn_01x08","PCM_SparkFun-Connector:1x08_P2.54mm_Socket_Vertical_SMD_Pin1RightDown","8 pin SMD female header","MOUSER","640-BG125-8A1144ND","Global Connector Technology"," BG125-08-A-1-1-0440-N-D","C6131506"
"L1","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","2.2 uH,  Power Inductor Case:2.5Mm X 2Mm X 1.2Mm 1008 case (2520 metric)","LCSC","C237482","Murata Electronics","DFE252012PD-2R2M=P2","C237482"
"L2","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","2.2 uH,  Power Inductor Case:2.5Mm X 2Mm X 1.2Mm 1008 case (2520 metric)","LCSC","C237482","Murata Electronics","DFE252012PD-2R2M=P2","C237482"
"MK1","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"MK2","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"MK3","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"MK4","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"MK5","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"MK6","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"R1","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R2","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R3","180k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 180k 0402","QUICK-TECK","QCR-00102","YAGEO","RC0402FR-07180KL","C138046"
"R4","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R5","180k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 180k 0402","QUICK-TECK","QCR-00102","YAGEO","RC0402FR-07180KL","C138046"
"R6","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R7","22","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 22R 0402","QUICK-TECK","QCR-00018","UNI-ROYAL(Uniroyal Elec)"," 0402WGF220JTCE","C25092"
"R8","22","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 22R 0402","QUICK-TECK","QCR-00018","UNI-ROYAL(Uniroyal Elec)"," 0402WGF220JTCE","C25092"
"R9","5.1k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 5.1k 0402","LCSC","C25905","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","C25905"
"R10","5.1k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 5.1k 0402","LCSC","C25905","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","C25905"
"R11","42.2k E96","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 42.2k E96 0402","LCSC","C276270","YAGEO","RC0402FR-0742K2L","C276270"
"R12","5.1k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 5.1k 0402","LCSC","C25905","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","C25905"
"R13","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R14","100k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 100k 0402","QUICK-TECK","QCR-00098","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","C25741"
"R15","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R16","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R17","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R18","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R19","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R20","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R23","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R24","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R25","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 2.2k 0402","LCSC","C25879","UNI-ROYAL(Uniroyal Elec)"," 0402WGF2201TCE","C25879"
"R26","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R27","100k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 100k 0402","QUICK-TECK","QCR-00098","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","C25741"
"R28","330","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 330R 0402","QUICK-TECK","QCR-00042"," UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","C25104"
"R29","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 2.2k 0402","LCSC","C25879","UNI-ROYAL(Uniroyal Elec)"," 0402WGF2201TCE","C25879"
"R30","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 2.2k 0402","LCSC","C25879","UNI-ROYAL(Uniroyal Elec)"," 0402WGF2201TCE","C25879"
"R31","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R32","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R33","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R34","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"R35","22","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 22R 0402","QUICK-TECK","QCR-00018","UNI-ROYAL(Uniroyal Elec)"," 0402WGF220JTCE","C25092"
"R36","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 2.2k 0402","LCSC","C25879","UNI-ROYAL(Uniroyal Elec)"," 0402WGF2201TCE","C25879"
"R37","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 2.2k 0402","LCSC","C25879","UNI-ROYAL(Uniroyal Elec)"," 0402WGF2201TCE","C25879"
"R38","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"SW1","SMD_4.6x2.8mm","PCM_SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","Push switch, Single Pole Single Throw (SPST) switch","LCSC","C221676","C&K","KMR211NGLFS","C221676"
"SW2","SMD_4.6x2.8mm","PCM_SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","Push switch, Single Pole Single Throw (SPST) switch","LCSC","C221676","C&K","KMR211NGLFS","C221676"
"SW3","SMD_4.6x2.8mm","PCM_SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","Push switch, Single Pole Single Throw (SPST) switch","LCSC","C221676","C&K","KMR211NGLFS","C221676"
"U1","STM32U595VJT6Q","Package_QFP:LQFP-100_14x14mm_P0.5mm","ARM® Cortex®-M33 STM32U5 Microcontroller IC 32-Bit 160MHz 4MB (4M x 8) FLASH 100-LQFP (14x14)","MOUSER","511-STM32U595VJT6Q","STM","STM32U595VJT6Q","C24591629"
"U2","TPS629210DRLR","TPS629210:SOT50P160X60-8N","Buck Switching Regulator IC Positive Adjustable 0.4V 1 Output 1A SOT-583","MOUSER","595-TPS629210DRLR","Texas Instruments","TPS629210DRLR","C5219301"
"U3","BQ25186","BQ25186:IC_BQ25185DLHR","BQ25186 1-Cell, 1A I2C Linear Battery Charger with Power Path, Ship Mode,Shutdown Mode, and Battery Tracking VINDPM","MOUSER","595-BQ25186DLHR","Texas Instruments","BQ25186DLHR","C44639442"
"U4","TLV75733PDRV","PCM_SparkFun-Semiconductor-Standard:WDFN-6_2x2mm","1A Low IQ Small Size Low Dropout Voltage Regulator, Fixed Output 3.3V, WSON6","MOUSER","595-TLV75733PDRVR","Texas Instruments","TLV75733PDRVR","C2868428"
"U5","E80-900M2213S","ebyte:E80-x00M2213S","Ebyte E80 LR1121 multi-band LoRa module","LCSC","C42464134"," Chengdu Ebyte Elec Tech","E80-900M2213S","C42464134"
"U6","FDV304P","FDV304P:SOT23-3","P-Channel 25 V 460mA (Ta) 350mW (Ta) Surface Mount SOT-23-3","LCSC","C5219301","ON Semiconductor","FDV304P","C10884"
"U7","L86-M33","L86-M33:XCVR_L86-M33","L86 is an ultra-compact GNSS POT _Patch on Top_ module with an embedded 18.4mm × 18.4mm × 4.0mm patch antenna and utilizes the MediaTek new generation GNSS chipset MT3333 that achieves the perfect performance","LCSC","C909689","Quectel","L86-M33","C909689"
"U8","LIS2HH12","Package_LGA:LGA-12_2x2mm_P0.5mm","3-Axis Accelerometer, 2/4/8g range, I2C/SPI interface","LCSC","C221446 ","ST","LIS2HH12","C221446 "
"U9","LIS2MDL","Package_LGA:LGA-12_2x2mm_P0.5mm","Ultra-low-power, 3-axis digital output magnetometer, LGA-12","LCSC","C919695","ST","LIS2MDL","C919695"
"U10","CPT-9019A-SMT-TR","CUI_CPT_9019S:XDCR_CPT-9019A-SMT-TR","Buzzers Transducer, Externally Driven Piezo 3 V 1mA 4kHz 72dB @ 3V, 10cm Surface Mount Solder Pads","MOUSER","179-CPT-9019A-SMT-TR","CUI Same Sky","CPT-9019A-SMT-TR","C20181991"
"Y1","ABM8AIG-16.000MHZ-12-2Z-T3","ABM8AIG:XTAL_ABM8AIG-16.000MHZ-12-2Z-T3","16 MHz ±20ppm Crystal 12pF 70 Ohms 4-SMD, No Lead","LCSC","C596903","Abracon","ABM8AIG-16.000MHZ-12-2Z-T3","C596903"
"Y2","32.768kHz ABS07-32.768KHZ-T","PCM_SparkFun-Clock:Crystal_SMD_3.2x1.5mm","32.768 kHz ±20ppm Crystal 12.5pF 70 kOhms 2-SMD, No Lead","LCSC","C130253","Abracon","ABS07-32.768KHZ-T","C130253"
